2025-01-22 17:41:31,832 - WARNING - 01-22-2025 05:41:31 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:41:36,850 - WARNING - 01-22-2025 05:41:36 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:41:41,983 - WARNING - 01-22-2025 05:41:41 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:41:46,995 - WARNING - 01-22-2025 05:41:46 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:41:52,132 - WARNING - 01-22-2025 05:41:52 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:41:57,141 - WARNING - 01-22-2025 05:41:56 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:44:03,159 - INFO - 01-22-2025 05:44:02 PM | sensor: 3, wheatstone voltage:  1.57831, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:44:08,299 - INFO - 01-22-2025 05:44:08 PM | sensor: 3, wheatstone voltage:  1.57831, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:44:13,306 - INFO - 01-22-2025 05:44:13 PM | sensor: 4, wheatstone voltage:  1.66216, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:44:18,438 - INFO - 01-22-2025 05:44:18 PM | sensor: 4, wheatstone voltage:  1.66216, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:44:23,454 - INFO - 01-22-2025 05:44:23 PM | sensor: 4, wheatstone voltage:  1.66216, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:44:28,594 - INFO - 01-22-2025 05:44:28 PM | sensor: 4, wheatstone voltage:  1.66216, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:46:33,643 - WARNING - 01-22-2025 05:46:33 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:46:38,777 - WARNING - 01-22-2025 05:46:38 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:46:43,789 - WARNING - 01-22-2025 05:46:43 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:46:48,862 - WARNING - 01-22-2025 05:46:48 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:46:53,999 - WARNING - 01-22-2025 05:46:53 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:46:59,009 - INFO - 01-22-2025 05:46:58 PM | sensor: 3, wheatstone voltage:  1.57845, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:49:06,727 - INFO - 01-22-2025 05:49:06 PM | sensor: 4, wheatstone voltage:  1.66253, range: 0, log amp voltage:  0.00000, battery voltage:  3.76200
2025-01-22 17:49:11,861 - WARNING - 01-22-2025 05:49:11 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:49:16,875 - WARNING - 01-22-2025 05:49:16 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:49:27,022 - WARNING - 01-22-2025 05:49:26 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:49:32,162 - WARNING - 01-22-2025 05:49:32 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:49:37,169 - WARNING - 01-22-2025 05:49:36 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:49:42,298 - WARNING - 01-22-2025 05:49:42 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:49:47,316 - WARNING - 01-22-2025 05:49:47 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:51:53,434 - INFO - 01-22-2025 05:51:53 PM | sensor: 3, wheatstone voltage:  1.57881, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:51:58,566 - INFO - 01-22-2025 05:51:58 PM | sensor: 3, wheatstone voltage:  1.57881, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:52:03,579 - INFO - 01-22-2025 05:52:03 PM | sensor: 4, wheatstone voltage:  1.66301, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:52:08,716 - INFO - 01-22-2025 05:52:08 PM | sensor: 4, wheatstone voltage:  1.66301, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:52:13,725 - INFO - 01-22-2025 05:52:13 PM | sensor: 4, wheatstone voltage:  1.66301, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:52:18,855 - INFO - 01-22-2025 05:52:18 PM | sensor: 4, wheatstone voltage:  1.66301, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:54:23,920 - WARNING - 01-22-2025 05:54:23 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:54:29,058 - WARNING - 01-22-2025 05:54:29 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:54:34,067 - WARNING - 01-22-2025 05:54:33 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:54:39,198 - WARNING - 01-22-2025 05:54:39 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:54:44,214 - WARNING - 01-22-2025 05:54:44 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:54:49,346 - INFO - 01-22-2025 05:54:49 PM | sensor: 3, wheatstone voltage:  1.57875, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
